,paper_id,target,type
203,https://openalex.org/W4213165720,E. V. Krasnova,author
204,https://openalex.org/W4213165720,"Moscow Polytechnic University, Moscow, Russia",institution
205,https://openalex.org/W4213165720,RU,country
206,https://openalex.org/W4213165720,B. P. Saushkin,author
209,https://openalex.org/W4213165720,B. V. Shandrov,author
212,https://openalex.org/W4213165720,additive manufacturing,keyword
213,https://openalex.org/W4213165720,engineering,keyword
214,https://openalex.org/W4320002395,Nesma T. Aboulkhair,author
215,https://openalex.org/W4320002395,"Additive Manufacturing Laboratory, Advanced Materials Research Centre, Technology Innovation Institute, Abu Dhabi, United Arab Emirates; Centre for Additive Manufacturing, Advanced Manufacturing Building, Jubilee Campus, University of Nottingham, Nottingham, United Kingdom",institution
216,https://openalex.org/W4320002395,AE,country
217,https://openalex.org/W4320002395,GB,country
218,https://openalex.org/W4320002395,Federico Bosio,author
